"","X0","cluster","cells","cellnames"
"299",0,7,"RHC3546__Tcell__.C6E879","RHC5611__Epithelial__.2749FE"
"300",0,7,"RHC3546__Tcell__.C6E879","RHC5612__Epithelial__.2749FE"
"301",0,5,"RHC3546__Tcell__.C6E879","RHC5613__Epithelial__.2749FE"
"302",0,2,"RHC3546__Tcell__.C6E879","RHC5614__Tcell__.C6E879"
"303",0,5,"RHC3546__Tcell__.C6E879","RHC5615__Epithelial__.2749FE"
"304",0,5,"RHC3546__Tcell__.C6E879","RHC5616__Epithelial__.2749FE"
"305",0,5,"RHC3546__Tcell__.C6E879","RHC5617__Epithelial__.2749FE"
"306",0,6,"RHC3546__Tcell__.C6E879","RHC5620__Tcell__.C6E879"
"307",0,4,"RHC3546__Tcell__.C6E879","RHC5622__Epithelial__.2749FE"
"308",0,7,"RHC3546__Tcell__.C6E879","RHC5623__Epithelial__.2749FE"
"309",0,5,"RHC3546__Tcell__.C6E879","RHC5624__Epithelial__.2749FE"
"310",0,5,"RHC3546__Tcell__.C6E879","RHC5626__Epithelial__.2749FE"
"311",0,7,"RHC3546__Tcell__.C6E879","RHC5627__Epithelial__.2749FE"
"312",0,5,"RHC3546__Tcell__.C6E879","RHC5628__Epithelial__.2749FE"
"313",0,4,"RHC3546__Tcell__.C6E879","RHC5629__Epithelial__.2749FE"
"314",0,4,"RHC3546__Tcell__.C6E879","RHC5632__Epithelial__.2749FE"
"315",0,4,"RHC3546__Tcell__.C6E879","RHC5633__Epithelial__.2749FE"
"316",0,5,"RHC3546__Tcell__.C6E879","RHC5637__Epithelial__.2749FE"
